#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
 1542 CH+          O            CO+          H                                        3.50E-10  0.00E+00  0.00E+00   2
 1543 CH+          X            CX+          H                                        3.50E-10  0.00E+00  0.00E+00   2
 1544 CH+          S            S+           CH                                       4.70E-10  0.00E+00  0.00E+00   2
 1545 CH+          S            CS+          H                                        4.70E-10  0.00E+00  0.00E+00   2
 1546 CH+          S            HS+          C                                        4.70E-10  0.00E+00  0.00E+00   2
 1547 CH+          Si           Si+          CH                                       2.00E-10  0.00E+00  0.00E+00   2
 1548 CH+          C2           C3+          H                                        1.00E-09  0.00E+00  0.00E+00   2
 1549 CH+          CH           C2+          H2                                       7.40E-10  0.00E+00  0.00E+00   2
 1550 CH+          CN           C2N+         H                                        1.10E-09  0.00E+00  0.00E+00   2
 1551 CH+          CN           CNC+         H                                        5.50E-10  0.00E+00  0.00E+00   2
 1552 CH+          H2           CH2+         H                                        1.20E-09  0.00E+00  0.00E+00   2
 1553 CH+          NH           CN+          H2                                       7.60E-10  0.00E+00  0.00E+00   2
 1554 CH+          NO           NO+          CH                                       7.60E-10  0.00E+00  0.00E+00   2
 1555 CH+          NX           NX+          CH                                       7.60E-10  0.00E+00  0.00E+00   2
 1556 CH+          O2           HCO          O+                                       1.00E-11  0.00E+00  0.00E+00   2
 1557 CH+          OX           HCX          O+                                       5.00E-12  0.00E+00  0.00E+00   2
 1558 CH+          OX           HCO          X+                                       5.00E-12  0.00E+00  0.00E+00   2
 1559 CH+          O2           CO+          OH                                       1.00E-11  0.00E+00  0.00E+00   2
 1560 CH+          OX           CX+          OH                                       5.00E-12  0.00E+00  0.00E+00   2
 1561 CH+          OX           CO+          XH                                       5.00E-12  0.00E+00  0.00E+00   2
 1562 CH+          O2           HCO+         O                                        9.70E-10  0.00E+00  0.00E+00   2
 1563 CH+          OX           HCX+         O                                        4.85E-10  0.00E+00  0.00E+00   2
 1564 CH+          OX           HCO+         X                                        4.85E-10  0.00E+00  0.00E+00   2
 1565 CH+          OH           CO+          H2                                       7.50E-10  0.00E+00  0.00E+00   2
 1566 CH+          XH           CX+          H2                                       7.50E-10  0.00E+00  0.00E+00   2
 1567 CH+          C2H          C3+          H2                                       9.80E-10  0.00E+00  0.00E+00   2
 1568 CH+          CH2          C2H+         H2                                       1.00E-09  0.00E+00  0.00E+00   2
 1569 CH+          CO2          HCO+         CO                                       1.60E-09  0.00E+00  0.00E+00   2
 1570 CH+          COX          HCX+         CO                                       8.00E-10  0.00E+00  0.00E+00   2
 1571 CH+          COX          HCO+         CX                                       8.00E-10  0.00E+00  0.00E+00   2
 1572 CH+          H2O          HCO+         H2                                       2.90E-09  0.00E+00  0.00E+00   2
 1573 CH+          H2X          HCX+         H2                                       2.90E-09  0.00E+00  0.00E+00   2
 1574 CH+          H2O          H2CO+        H                                        5.80E-10  0.00E+00  0.00E+00   2
 1575 CH+          H2X          H2CX+        H                                        5.80E-10  0.00E+00  0.00E+00   2
 1576 CH+          H2O          H3O+         C                                        5.80E-10  0.00E+00  0.00E+00   2
 1577 CH+          H2X          H3X+         C                                        5.80E-10  0.00E+00  0.00E+00   2
 1578 CH+          H2S          HCS+         H2                                       6.60E-10  0.00E+00  0.00E+00   2
 1579 CH+          H2S          H3S+         C                                        6.30E-10  0.00E+00  0.00E+00   2
 1580 CH+          HCN          C2N+         H2                                       3.60E-10  0.00E+00  0.00E+00   2
 1581 CH+          HCN          C2NH+        H                                        2.40E-10  0.00E+00  0.00E+00   2
 1582 CH+          HCN          HCNH+        C                                        2.40E-09  0.00E+00  0.00E+00   2
 1583 CH+          HCO          CH2+         CO                                       4.60E-10  0.00E+00  0.00E+00   2
 1584 CH+          HCX          CH2+         CX                                       4.60E-10  0.00E+00  0.00E+00   2
 1585 CH+          HCO          HCO+         CH                                       4.60E-10  0.00E+00  0.00E+00   2
 1586 CH+          HCX          HCX+         CH                                       4.60E-10  0.00E+00  0.00E+00   2
 1587 CH+          HNC          HCNH+        C                                        1.80E-09  0.00E+00  0.00E+00   2
 1588 CH+          NH2          HCN+         H2                                       1.10E-09  0.00E+00  0.00E+00   2
 1589 CH+          OCS          HCS+         CO                                       1.05E-09  0.00E+00  0.00E+00   2
 1590 CH+          XCS          HCS+         CX                                       1.05E-09  0.00E+00  0.00E+00   2
 1591 CH+          OCS          HOCS+        C                                        8.55E-10  0.00E+00  0.00E+00   2
 1592 CH+          XCS          HXCS+        C                                        8.55E-10  0.00E+00  0.00E+00   2
 1593 CH+          C2H2         C3H2+        H                                        1.20E-09  0.00E+00  0.00E+00   2
 1594 CH+          C2H2         H2C3+        H                                        1.20E-09  0.00E+00  0.00E+00   2
 1595 CH+          H2CO         HCO+         CH2                                      9.60E-10  0.00E+00  0.00E+00   2
 1596 CH+          H2CX         HCX+         CH2                                      9.60E-10  0.00E+00  0.00E+00   2
 1597 CH+          H2CO         CH3+         CO                                       9.60E-10  0.00E+00  0.00E+00   2
 1598 CH+          H2CX         CH3+         CX                                       9.60E-10  0.00E+00  0.00E+00   2
 1599 CH+          H2CO         H3CO+        C                                        9.60E-10  0.00E+00  0.00E+00   2
 1600 CH+          H2CX         H3CX+        C                                        9.60E-10  0.00E+00  0.00E+00   2
 1601 CH+          NH3          H2NC+        H2                                       1.84E-09  0.00E+00  0.00E+00   2
