!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789123456789123456789123456123456123121231212
C+          C3O                     C3O+        C                                    2.34e-09-5.00e-01 0.00e+00              2
C+          C3O                     C4+         O                                    2.34e-09-5.00e-01 0.00e+00              2
C+          C3P                     C4+         P                                    1.22e-09-5.00e-01 0.00e+00              2
C+          C3S                     C3S+        C                                    2.36e-09-5.00e-01 0.00e+00              2
C+          C3S                     C4+         S                                    2.36e-09-5.00e-01 0.00e+00              2
C+          CH3                     C2H+        H2                                   1.00e-09 0.00e+00 0.00e+00              2
C+          CH3                     C2H2+       H                                    1.00e-09 0.00e+00 0.00e+00              2
C+          CH3                     CH3+        C                                    1.00e-09 0.00e+00 0.00e+00              2
C+          H2CO                    CH2+        CO                                   1.50e-09-5.00e-01 0.00e+00              2
C+          H2CO                    HCO+        CH                                   6.50e-10-5.00e-01 0.00e+00              2
C+          H2CO                    H2CO+       C                                    9.60e-10-5.00e-01 0.00e+00              2
C+          H2CS                    CH2+        CS                                   2.10e-09-5.00e-01 0.00e+00              2
C+          H2SiO                   H2SiO+      C                                    2.51e-09-5.00e-01 0.00e+00              2
C+          HCCP                    CP+         C2H                                  5.00e-10 0.00e+00 0.00e+00              2
C+          HCCP                    CCP+        CH                                   5.00e-10 0.00e+00 0.00e+00              2
C+          NH3                     HCN+        H2                                   1.08e-10-5.00e-01 0.00e+00              2
C+          NH3                     HCNH+       H                                    1.36e-09-5.00e-01 0.00e+00              2
C+          NH3                     NH3+        C                                    6.80e-10-5.00e-01 0.00e+00              2
C+          SiC2H                   SiC2H+      C                                    8.70e-10-5.00e-01 0.00e+00              2
C+          SiC2H                   SiC3+       H                                    8.70e-10-5.00e-01 0.00e+00              2
C+          SiC3                    SiC3+       C                                    2.44e-09-5.00e-01 0.00e+00              2
C+          SiCH2                   SiC2+       H2                                   6.33e-10-5.00e-01 0.00e+00              2
C+          SiCH2                   CH2Si+      C                                    6.33e-10-5.00e-01 0.00e+00              2
C+          SiCH2                   SiC2H+      H                                    6.33e-10-5.00e-01 0.00e+00              2
C+          SiH3                    CHSi+       H2                                   1.00e-09 0.00e+00 0.00e+00              2
C+          SiH3                    CH2Si+      H                                    1.00e-09 0.00e+00 0.00e+00              2
C+          SiH3                    SiH3+       C                                    1.00e-09 0.00e+00 0.00e+00              2
C+          C2H2N                   C2H2N+      C                                    2.04e-09-5.00e-01 0.00e+00              2
C+          C2H2O                   C2H2O+      C                                    1.80e-09-5.00e-01 0.00e+00              2
C+          C2H3                    C3H+        H2                                   6.70e-10-5.00e-01 0.00e+00              2
C+          C2H3                    C2H3+       C                                    6.70e-10-5.00e-01 0.00e+00              2
C+          C2H3                    C3H2+       H                                    3.35e-10-5.00e-01 0.00e+00              2
C+          C2H3                    H2C3+       H                                    3.35e-10-5.00e-01 0.00e+00              2
C+          C3H2                    C4+         H2                                   1.90e-09-5.00e-01 0.00e+00              2
C+          H2C3                    C4+         H2                                   2.30e-09-5.00e-01 0.00e+00              2
C+          C3H2                    C4H+        H                                    1.90e-09-5.00e-01 0.00e+00              2
C+          H2C3                    C4H+        H                                    2.30e-09-5.00e-01 0.00e+00              2
C+          C4H                     C5+         H                                    2.70e-09-5.00e-01 0.00e+00              2
C+          C4P                     C5+         P                                    6.01e-10-5.00e-01 0.00e+00              2
